NAME,SQ F%,FIXED ISSUES,FINAL F%,F FIXED ISSUES,F OPEN ISSUES,LOC,FILES,CLASS,COMMITS,WEEKLYCOMMITS,CONTRIBUTORS
incubator-senssoft-distill,86.27%,1.2K,82.44%,897,191,913,23,12,98,25,5
predictionio-sdk-python,89.25%,4.1K,78.41%,1794,494,1487,17,22,122,40,9
incubator-mxnet,82.35%,84K,75.21%,53862,17752,95883,685,743,9381,195,677
incubator-senssoft-userale-pyqt5,74.66%,548,73.88%,526,186,612,12,10,40,11,1
allura,75.00%,27K,66.83%,18201,9032,77042,536,1194,9271,449,45
incubator-spot,66.67%,4K,65.56%,3766,1978,7602,78,38,654,53,20
cloudstack-ec2stack,68.28%,493,61.25%,362,229,4456,48,21,341,30,5
chemistry-cmislib,55.17%,1.6K,51.41%,1407,1330,5020,18,86,117,52,3
incubator-openwhisk-composer-python,48.15%,1.3K,45.49%,1129,1353,1655,12,50,83,15,5
airflow,53.38%,7.9K,45.24%,5709,6910,89773,865,1044,6074,228,742
libcloud,52.27%,23K,42.73%,15656,20981,126083,698,1394,6287,434,264
qpid-python,63.49%,12K,42.67%,5122,6881,19285,129,385,1004,284,23
qpid-interop-test,61.55%,746,41.75%,334,466,4660,28,59,184,77,2
cloudstack-gcestack,93.89%,5.7K,40.35%,251,371,3102,54,37,332,28,4
incubator-openwhisk-package-kafka,40.11%,215,40.11%,215,321,1157,11,9,202,73,11
trafficserver-qa,38.63%,158,37.41%,150,251,1083,20,36,109,24,3
bloodhound,37.25%,5.7K,36.12%,5424,9592,74658,427,1068,1238,137,9
fluo-muchos,80.70%,761,32.34%,87,182,983,9,4,261,90,7
cassandra-dtest,71.19%,42K,30.34%,7519,17262,61333,147,487,5148,319,68
couchdb-documentation,29.38%,47,29.38%,47,113,944,5,22,964,193,105
qpid-dispatch,78.12%,8.5K,26.86%,3648,9934,29628,104,447,2160,251,17
airavata-django-portal,47.03%,8.7K,24.76%,3234,9828,41192,267,614,743,73,5
tashi,31.31%,3.1K,23.78%,2126,6816,12311,110,90,449,103,3
cloudstack-docs-rn,22.92%,11,22.92%,11,37,111,4,0,197,56,15
infrastructure-puppet,28.81%,1.7K,22.62%,1239,4239,12112,88,122,10942,242,60
incubator-ariatosca,43.90%,3.6K,22.21%,1319,4619,35603,370,557,190,55,11
steve,23.25%,303,18.19%,223,1003,2662,28,6,384,16,4
cloudstack-documentation,14.29%,1,14.29%,1,6,45,0,1,59,15,16
incubator-superset,54.84%,1.7K,12.31%,191,1360,16279,138,90,3922,52,344
incubator-sdap-nexus,12.92%,757,6.89%,380,5132,17056,128,173,73,25,5
kibble,5.46%,208,5.40%,208,3643,8103,70,8,586,22,4
incubator-openwhisk-utilities,4.65%,2,4.65%,2,41,364,2,0,48,21,7
incubator-milagro-mfa-server,4.63%,38,4.63%,38,783,4598,47,84,25,12,7
incubator-sdap-ningesterpy,35.15%,103,4.52%,9,190,1623,33,45,28,6,3
incubator-retired-cotton,3.05%,107,3.04%,107,3410,4125,47,74,56,11,2
kibble-scanners,1.66%,27,1.64%,27,1622,3940,30,12,152,19,1
incubator-pagespeed-drp,0.84%,5,0.84%,5,593,611,12,10,40,18,4
incubator-warble-node,0.32%,1,0.32%,1,307,753,12,7,29,2,1
comdev-reporter,0,0,0.00%,0,463,1341,11,3,34,1,1
incubator-openwhisk-deploy-mesos,0,0,0.00%,0,165,1373,9,4,2,2,2
incubator-retired-wave-docs,0,0,0.00%,0,63,183,0,0,10,3,3
incubator-sdap-edge,0,0,0.00%,0,2734,4900,158,94,2,2,1
incubator-sdap-nexusproto,45%,9,0.00%,0,11,48,3,0,13,6,1
usergrid-python,0,0,0.00%,0,115,660,13,15,2,1,1
