NAME,SQ F%,FIXED ISSUES,FINAL F%,F FIXED ISSUES,F OPEN ISSUES,LOC,FILES,CLASS,CONTRIBUTORS,COMMITS,WEEKLYCOMMITS,SELF-FIXED F%
airavata-django-portal,47.03%,8.7K,24.76%,3234,9828,41192,267,614,4,743,,
bloodhound,37.25%,5.7K,36.12%,5424,9592,74658,427,1068,9,1238,137,41.56%
incubator-mxnet,82.35%,84K,75.21%,53862,17752,95883,685,743,677,9381,195,0.33%
cassandra-dtest,71.19%,42K,30.34%,7519,17262,61333,147,487,68,5148,,
chemistry-cmislib,55.17%,1.6K,51.41%,1407,1330,5020,18,86,2,117,52,98.01%
incubator-sdap-nexus,12.92%,757,6.89%,380,5132,17056,128,173,5,73,,
cloudstack-ec2stack,68.28%,493,61.25%,362,229,4456,48,21,5,341,30,55.52%
qpid-dispatch,78.12%,8.5K,26.86%,3648,9934,29628,104,447,16,2160,,
fluo-muchos,80.70%,761,32.34%,87,182,983,9,4,7,261,90,87.35%
cloudstack-gcestack,93.89%,5.7K,40.35%,251,371,3102,54,37,4,332,,
cloudstack-docs-rn,22.92%,11,,,37,111,4,0,15,197,,
cloudstack-documentation,14.29%,1,,,6,45,0,1,16,59,,
comdev-reporter,0,0,0,0,463,1341,11,3,1,34,1,
incubator-ariatosca,43.90%,3.6K,,,,35603,370,557,11,190,55,
incubator-milagro-mfa-server,4.63%,38,,,783,4598,47,84,7,25,12,
incubator-openwhisk-composer-python,48.15%,1.3K,,,,1655,12,50,5,83,15,
incubator-openwhisk-deploy-mesos,0,0,0,0,165,1373,9,4,2,2,2,
incubator-openwhisk-package-kafka,40.11%,215,,,321,1157,11,9,11,202,73,
incubator-openwhisk-utilities,4.65%,2,,,41,364,2,0,7,48,21,
incubator-pagespeed-drp,0.84%,5,,,593,611,12,10,4,40,18,
incubator-retired-cotton,3.05%,107,,,,4125,47,74,2,56,11,
incubator-retired-wave-docs,0,0,0,0,63,183,0,0,3,10,3,
incubator-sdap-edge,0,0,0,0,2.7K,4900,158,94,1,2,2,
incubator-sdap-nexusproto,45%,9,,,11,48,3,0,1,13,6,
incubator-sdap-ningesterpy,35.15%,103,,,190,1623,33,45,3,28,6,
incubator-senssoft-distill,86.27%,1.2K,,,191,913,23,12,5,98,,
incubator-senssoft-userale-pyqt5,74.66%,548,,,186,612,12,10,1,40,11,
incubator-spot,66.67%,4K,,,,7602,78,38,20,654,53,
incubator-superset,54.84%,1.7K,,,,16279,138,90,344,3922,52,
incubator-warble-node,0.32%,1,,,307,753,12,7,1,29,2,
infrastructure-puppet,28.81%,1.7K,,,,12112,88,122,60,10942,,
kibble,5.46%,208,,,,8103,70,8,4,586,,
kibble-scanners,1.66%,27,,,,3940,30,12,1,152,,
predictionio-sdk-python,89.25%,4.1K,,,494,1487,17,22,18,122,,
qpid-interop-test,61.55%,746,,,466,4660,28,59,2,184,,
qpid-python,63.49%,12K,,,,19285,129,385,14,1004,,
steve,23.25%,303,,,,2662,28,6,4,384,,
tashi,31.31%,3.1K,,,,12311,110,90,0,449,,
trafficserver-qa,38.63%,158,,,251,1083,20,36,3,109,,
usergrid-python,0,0,0,0,115,660,13,15,1,2,,
airflow,53.38%,7.9K,45.24%,5709,6910,89773,865,1044,742,6074,228,15.82%
