RuleID,Rules,Types,Severity,ProjectNum,Fixed,Open,threshold,domain,description
3,__init__ should not return a value,Bug,BLOCKER,1,0,1,,,"By contract, every Python function returns something, even if it's the None value, which can be returned implicitly by omitting the return statement, or explicitly. The __init__ method is required to return None. A TypeError will be raised if the __init__ method either yields or returns any expression other than None. Returning some expression that evaluates to None will not raise an error, but is considered bad practice."
7,Methods and field names should not differ only by capitalization,Code Smell,BLOCKER,9,15,28,,,Looking at the set of methods and fields in a class and finding two that differ only by capitalization is confusing to users of the class.
12,"""<>"" should not be used to test inequality",Code Smell,MAJOR,1,2,0,,,The forms <> and != are equivalent. But in Python 2.7.3 the <> form is considered obsolete.
13,Jump statements should not be followed by other statements,Bug,MAJOR,8,36,11,,control flow,"Jump statements (return, break, continue, and raise) move control flow out of the current code block. Typically, any statements in a block that come after a jump are simply wasted keystrokes lying in wait to confuse the unwary."
14,Docstrings should be defined,Code Smell,MAJOR,44,13009,18355,,,"A string literal that is the first statement in a module, function, class, or method is a docstring. A docstring should document what a caller needs to know about the code. Information about what it does, what it returns, and what it requires are all valid candidates for documentation. Well written docstrings allow callers to use your code without having to first read it and understand its logic. By convention, docstrings are enclosed in three sets of double-quotes."
15,Identical expressions should not be used on both sides of a binary operator,Bug,MAJOR,9,6,25,,,"Using the same value on either side of a binary operator is almost always a mistake. In the case of logical operators, it is either a copy/paste error and therefore a bug, or it is simply wasted code, and should be simplified. In the case of bitwise operators and most binary mathematical operators, having the same value on both sides of an operator yields predictable results, and should be simplified. This rule ignores *, +, and =."
16,"Sections of code should not be ""commented out""",Code Smell,MAJOR,31,866,692,,,Programmers should not comment out code as it bloats programs and reduces readability. Unused code should be deleted and can be retrieved from source control history if required.
20,Functions should not be too complex,Code Smell,CRITICAL,29,329,483,maximumFunctionComplexityThreshold:15,complex,The Cyclomatic Complexity of functions should not exceed a defined threshold. Complex code may perform poorly and can be difficult to test thoroughly.
21,"The ""print"" statement should not be used",Code Smell,MAJOR,31,1350,1046,,,The print statement was removed in Python 3.0. The built-in function should be used instead.
23,"""\"" should only be used as an escape character outside of raw strings",Bug,MAJOR,20,899,413,,,"Typically, backslashes are seen only as part of escape sequences. Therefore, the use of a backslash outside of a raw string or escape sequence looks suspiciously like a broken escape sequence."
24,"Control flow statements ""if"", ""for"", ""while"", ""try"" and ""with"" should not be nested too deeply",Code Smell,CRITICAL,27,531,734,maximum:3,control flow,"Nested if, for, while, try, and with statements are key ingredients for making what's known as ""Spaghetti code"". Such code is hard to read, refactor and therefore maintain."
25,Redundant pairs of parentheses should be removed,Code Smell,MAJOR,7,13,16,,,"The use of parentheses, even those not required to enforce a desired order of operations, can clarify the intent behind a piece of code. But redundant pairs of parentheses could be misleading, and should be removed."
